[run number],number-of-turtles,[step],ticks,,1,5,10,15,20
1,1,15890,15891,,15891,24015,4879,24015,1070
2,1,21894,21895,,21895,20858,4185,1967,776
3,1,18048,18049,,18049,19180,3521,1359,737
4,1,18895,18896,,18896,3351,1713,1101,779
5,1,12174,12175,,12175,5101,1412,976,619
6,1,16738,16739,,16739,3428,1690,1140,544
7,1,15960,15961,,15961,3805,1145,1445,767
8,1,21525,21526,,21526,3520,1291,1139,915
9,1,16754,16755,,16755,3806,1430,1003,493
10,1,12770,12771,,12771,3502,1527,1355,740
11,1,16800,16801,,16801,2951,1564,1406,617
13,1,15390,15391,,15391,2776,1384,839,668
14,1,15825,15826,,15826,3949,1406,1055,558
15,1,13249,13250,,13250,3756,1254,1386,661
16,1,16456,16457,,16457,3429,1331,988,750
17,1,15722,15723,,15723,3739,1485,1110,896
18,1,18644,18645,,18645,3699,1388,718,723
19,1,19333,19334,,19334,3814,1321,989,747
20,1,12811,12812,,12812,2578,1391,750,1102
21,1,17815,17816,,17816,3439,1485,1000,749
23,1,11557,11558,,11558,2338,1312,918,860
26,1,2776,2777,,2777,1954,1319,1135,1253
27,1,3952,3953,,3953,1491,1108,1179,1319
28,1,2627,2628,,2628,1355,905,717,684
31,1,2430,2431,,2431,1388,932,673,853
12,5,24014,24015,,,,,,
22,5,20857,20858,,,,,,
25,5,19179,19180,,,,,,
29,5,3350,3351,,,,,,
30,5,5100,5101,,,,,,
32,5,3427,3428,,,,,,
33,5,3804,3805,,,,,,
34,5,3519,3520,,,,,,
35,5,3805,3806,,,,,,
36,5,3501,3502,,,,,,
37,5,2950,2951,,,,,,
38,5,2775,2776,,,,,,
39,5,3948,3949,,,,,,
40,5,3755,3756,,,,,,
41,5,3428,3429,,,,,,
42,5,3738,3739,,,,,,
43,5,3698,3699,,,,,,
44,5,3813,3814,,,,,,
46,5,2577,2578,,,,,,
47,5,3438,3439,,,,,,
48,5,2337,2338,,,,,,
51,5,1953,1954,,,,,,
52,5,1490,1491,,,,,,
53,5,1354,1355,,,,,,
54,5,1387,1388,,,,,,
45,10,4878,4879,,,,,,
49,10,4184,4185,,,,,,
50,10,3520,3521,,,,,,
55,10,1712,1713,,,,,,
56,10,1411,1412,,,,,,
57,10,1689,1690,,,,,,
58,10,1144,1145,,,,,,
59,10,1290,1291,,,,,,
60,10,1429,1430,,,,,,
61,10,1526,1527,,,,,,
62,10,1563,1564,,,,,,
63,10,1383,1384,,,,,,
64,10,1405,1406,,,,,,
65,10,1253,1254,,,,,,
66,10,1330,1331,,,,,,
67,10,1484,1485,,,,,,
68,10,1387,1388,,,,,,
69,10,1320,1321,,,,,,
70,10,1390,1391,,,,,,
71,10,1484,1485,,,,,,
73,10,1311,1312,,,,,,
74,10,1318,1319,,,,,,
75,10,1107,1108,,,,,,
76,10,904,905,,,,,,
78,10,931,932,,,,,,
24,15,24014,24015,,,,,,
72,15,1966,1967,,,,,,
77,15,1358,1359,,,,,,
79,15,1100,1101,,,,,,
80,15,975,976,,,,,,
81,15,1139,1140,,,,,,
82,15,1444,1445,,,,,,
83,15,1138,1139,,,,,,
84,15,1002,1003,,,,,,
85,15,1354,1355,,,,,,
86,15,1405,1406,,,,,,
87,15,838,839,,,,,,
88,15,1054,1055,,,,,,
89,15,1385,1386,,,,,,
90,15,987,988,,,,,,
91,15,1109,1110,,,,,,
92,15,717,718,,,,,,
93,15,988,989,,,,,,
94,15,749,750,,,,,,
95,15,999,1000,,,,,,
96,15,917,918,,,,,,
97,15,1134,1135,,,,,,
98,15,1178,1179,,,,,,
99,15,716,717,,,,,,
102,15,672,673,,,,,,
100,20,1069,1070,,,,,,
101,20,775,776,,,,,,
103,20,736,737,,,,,,
104,20,778,779,,,,,,
105,20,618,619,,,,,,
106,20,543,544,,,,,,
107,20,766,767,,,,,,
108,20,914,915,,,,,,
109,20,492,493,,,,,,
110,20,739,740,,,,,,
111,20,616,617,,,,,,
112,20,667,668,,,,,,
113,20,557,558,,,,,,
114,20,660,661,,,,,,
115,20,749,750,,,,,,
116,20,895,896,,,,,,
117,20,722,723,,,,,,
118,20,746,747,,,,,,
119,20,1101,1102,,,,,,
120,20,748,749,,,,,,
121,20,859,860,,,,,,
122,20,1252,1253,,,,,,
123,20,1318,1319,,,,,,
124,20,683,684,,,,,,
125,20,852,853,,,,,,
