"BehaviorSpace results (NetLogo 6.0.2)"
"Random Moving Turtle.nlogo"
"experiment exploration efficiency"
"01/07/2022 05:32:09:566 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-of-turtles","[step]","ticks"
"3","1","12433","12434"
"8","1","12895","12896"
"2","1","15323","15324"
"4","1","15347","15348"
"5","1","17324","17325"
"10","1","14617","14618"
"7","1","20443","20444"
"9","1","16329","16330"
"6","1","21715","21716"
"1","1","20188","20189"
"11","1","14465","14466"
"12","1","15654","15655"
"13","1","12872","12873"
"18","1","12103","12104"
"15","1","15807","15808"
"16","1","15682","15683"
"20","1","16201","16202"
"19","1","17895","17896"
"14","1","21583","21584"
"27","5","3766","3767"
"26","5","4883","4884"
"22","1","15674","15675"
"23","1","16060","16061"
"29","5","3044","3045"
"31","5","2834","2835"
"32","5","3265","3266"
"24","1","17142","17143"
"17","1","24307","24308"
"33","5","3160","3161"
"28","5","5294","5295"
"25","1","16839","16840"
"37","5","2831","2832"
"34","5","3324","3325"
"36","5","3736","3737"
"30","5","5592","5593"
"38","5","3525","3526"
"35","5","4047","4048"
"41","5","3234","3235"
"40","5","3762","3763"
"42","5","3322","3323"
"43","5","3046","3047"
"39","5","5048","5049"
"45","5","3860","3861"
"46","5","3138","3139"
"51","10","1140","1141"
"44","5","4583","4584"
"50","5","2641","2642"
"48","5","2979","2980"
"49","5","3095","3096"
"53","10","1541","1542"
"52","10","2226","2227"
"54","10","1782","1783"
"55","10","1705","1706"
"56","10","1617","1618"
"47","5","4403","4404"
"60","10","1561","1562"
"64","10","1184","1185"
"61","10","1664","1665"
"57","10","2143","2144"
"63","10","1665","1666"
"65","10","1435","1436"
"59","10","2649","2650"
"67","10","1308","1309"
"62","10","2499","2500"
"66","10","1533","1534"
"58","10","2907","2908"
"68","10","1674","1675"
"71","10","1331","1332"
"69","10","1792","1793"
"74","10","1379","1380"
"72","10","1592","1593"
"76","15","872","873"
"21","1","29996","29997"
"70","10","1965","1966"
"73","10","2094","2095"
"75","10","1733","1734"
"77","15","1163","1164"
"79","15","1300","1301"
"82","15","1138","1139"
"83","15","1020","1021"
"80","15","1212","1213"
"84","15","1069","1070"
"81","15","1445","1446"
"85","15","1279","1280"
"78","15","1739","1740"
"89","15","1229","1230"
"91","15","1146","1147"
"90","15","1241","1242"
"93","15","920","921"
"88","15","1536","1537"
"86","15","1563","1564"
"92","15","1180","1181"
"87","15","1603","1604"
"96","15","903","904"
"94","15","1035","1036"
"97","15","985","986"
"101","20","947","948"
"95","15","1295","1296"
"102","20","689","690"
"100","15","1292","1293"
"99","15","1218","1219"
"98","15","1322","1323"
"103","20","709","710"
"104","20","1037","1038"
"110","20","742","743"
"107","20","873","874"
"106","20","949","950"
"109","20","929","930"
"105","20","1051","1052"
"108","20","1000","1001"
"113","20","612","613"
"111","20","1004","1005"
"115","20","613","614"
"116","20","847","848"
"112","20","1073","1074"
"117","20","917","918"
"118","20","887","888"
"120","20","759","760"
"119","20","968","969"
"121","20","861","862"
"114","20","1173","1174"
"123","20","724","725"
"124","20","782","783"
"125","20","760","761"
"122","20","1042","1043"
